run started at Sat Oct 17 16:40:39 CDT 2020
run started at 1602970841.787253
(1/997898) : 0.05452108383178711 s
(50000/997898) : 495.73907256126404 s
(100000/997898) : 1026.225855588913 s
(150000/997898) : 1540.3464167118073 s
(200000/997898) : 2046.7956347465515 s
(250000/997898) : 2501.7567636966705 s
(300000/997898) : 2946.617594718933 s
(350000/997898) : 3384.9989364147186 s
(400000/997898) : 3815.1713206768036 s
(450000/997898) : 4243.449169635773 s
(500000/997898) : 4666.249660491943 s
(550000/997898) : 5084.565711259842 s
(600000/997898) : 5507.927789211273 s
(650000/997898) : 5929.5647048950195 s
(700000/997898) : 6355.840464353561 s
(750000/997898) : 6776.210160017014 s
(800000/997898) : 7190.843755722046 s
(850000/997898) : 7601.273515462875 s
(900000/997898) : 8016.509897708893 s
(950000/997898) : 8423.812409877777 s
run finished at 1602979656.3854308 (8814.598177909851 s)
run ended at Sat Oct 17 19:07:36 CDT 2020
